Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2018-08-12,16:00 (11:00),Matchweek 1,Sun,Away,W,2,0,Arsenal,2,17,8,47.1,0.12,0.25,18.2,1,0,0,1.7,1.7,0.1,+0.3,+0.3
2018-08-19,13:30 (08:30),Matchweek 2,Sun,Home,W,6,1,Huddersfield,5,32,14,43.8,0.16,0.36,18,1,0,0,4.2,4.2,0.14,+0.8,+0.8
2018-08-25,12:30 (07:30),Matchweek 3,Sat,Away,D,1,1,Wolves,1,18,6,33.3,0.06,0.17,18.6,1,0,0,1.6,1.6,0.09,-0.6,-0.6
2018-09-01,17:30 (12:30),Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2,24,8,33.3,0.08,0.25,17.5,3,0,0,2,2,0.09,0,0
2018-09-15,15:00 (10:00),Matchweek 5,Sat,Home,W,3,0,Fulham,3,28,9,32.1,0.11,0.33,16.6,1,0,0,4.8,4.8,0.18,-1.8,-1.8
2018-09-22,15:00 (10:00),Matchweek 6,Sat,Away,W,5,0,Cardiff City,5,21,10,47.6,0.24,0.5,13.9,1,0,0,2.5,2.5,0.12,+2.5,+2.5
2018-09-29,15:00 (10:00),Matchweek 7,Sat,Home,W,2,0,Brighton,2,28,8,28.6,0.07,0.25,15.9,0,0,0,2.7,2.7,0.1,-0.7,-0.7
2018-10-07,16:30 (11:30),Matchweek 8,Sun,Away,D,0,0,Liverpool,0,5,2,40,0,0,19.1,0,0,1,1,0.3,0.05,-1,-0.3
2018-10-20,15:00 (10:00),Matchweek 9,Sat,Home,W,5,0,Burnley,5,24,10,41.7,0.21,0.5,12.7,0,0,0,4,4,0.17,+1.0,+1.0
2018-10-29,20:00 (16:00),Matchweek 10,Mon,Away,W,1,0,Tottenham,1,13,5,38.5,0.08,0.2,15.7,1,0,0,1.6,1.6,0.12,-0.6,-0.6
2018-11-04,15:00 (10:00),Matchweek 11,Sun,Home,W,6,1,Southampton,5,18,8,44.4,0.28,0.63,15.7,1,0,0,2.2,2.2,0.12,+2.8,+2.8
2018-11-11,16:30 (11:30),Matchweek 12,Sun,Home,W,3,1,Manchester Utd,3,17,5,29.4,0.18,0.6,18.8,0,0,0,1.9,1.9,0.11,+1.1,+1.1
2018-11-24,15:00 (10:00),Matchweek 13,Sat,Away,W,4,0,West Ham,4,9,6,66.7,0.44,0.67,10.5,0,0,0,2.7,2.7,0.3,+1.3,+1.3
2018-12-01,15:00 (10:00),Matchweek 14,Sat,Home,W,3,1,Bournemouth,3,16,6,37.5,0.19,0.5,14.7,0,0,0,2.6,2.6,0.16,+0.4,+0.4
2018-12-04,20:00 (15:00),Matchweek 15,Tue,Away,W,2,1,Watford,2,15,7,46.7,0.13,0.29,14.8,0,0,0,2.5,2.5,0.17,-0.5,-0.5
2018-12-08,17:30 (12:30),Matchweek 16,Sat,Away,L,0,2,Chelsea,0,14,4,28.6,0,0,19.7,1,0,0,0.9,0.9,0.06,-0.9,-0.9
2018-12-15,12:30 (07:30),Matchweek 17,Sat,Home,W,3,1,Everton,3,13,5,38.5,0.23,0.6,16.5,0,0,0,1.7,1.7,0.13,+1.3,+1.3
2018-12-22,15:00 (10:00),Matchweek 18,Sat,Home,L,2,3,Crystal Palace,2,19,5,26.3,0.11,0.4,18.5,1,0,0,1.5,1.5,0.08,+0.5,+0.5
2018-12-26,15:00 (10:00),Matchweek 19,Wed,Away,L,1,2,Leicester City,1,11,4,36.4,0.09,0.25,18.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4
2018-12-30,14:15 (09:15),Matchweek 20,Sun,Away,W,3,1,Southampton,2,14,6,42.9,0.14,0.33,12.8,0,0,0,2.5,2.5,0.18,-0.5,-0.5
2019-01-03,20:00 (15:00),Matchweek 21,Thu,Home,W,2,1,Liverpool,2,9,4,44.4,0.22,0.5,21.8,0,0,0,1.1,1.1,0.12,+0.9,+0.9
2019-01-14,20:00 (15:00),Matchweek 22,Mon,Home,W,3,0,Wolves,2,23,8,34.8,0.04,0.13,20.3,0,1,1,2.8,2.1,0.09,-0.8,-1.1
2019-01-20,13:30 (08:30),Matchweek 23,Sun,Away,W,3,0,Huddersfield,3,12,4,33.3,0.25,0.75,13.8,0,0,0,2,2,0.16,+1.0,+1.0
2019-01-29,20:00 (15:00),Matchweek 24,Tue,Away,L,1,2,Newcastle Utd,1,12,3,25,0.08,0.33,16.2,1,0,0,1.4,1.4,0.12,-0.4,-0.4
2019-02-03,16:30 (11:30),Matchweek 25,Sun,Home,W,3,1,Arsenal,3,19,12,63.2,0.16,0.25,17.5,1,0,0,2.7,2.7,0.14,+0.3,+0.3
2019-02-06,19:45 (14:45),Matchweek 27,Wed,Away,W,2,0,Everton,2,15,4,26.7,0.13,0.5,13.3,0,0,0,2.2,2.2,0.17,-0.2,-0.2
2019-02-10,16:00 (11:00),Matchweek 26,Sun,Home,W,6,0,Chelsea,6,14,8,57.1,0.36,0.63,16.5,1,1,1,3,2.2,0.16,+3.0,+2.8
2019-02-27,20:00 (15:00),Matchweek 28,Wed,Home,W,1,0,West Ham,1,19,5,26.3,0,0,15.8,0,1,1,3.5,2.7,0.16,-2.5,-2.7
2019-03-02,15:00 (10:00),Matchweek 29,Sat,Away,W,1,0,Bournemouth,1,23,7,30.4,0.04,0.14,17.9,0,0,0,1.2,1.2,0.05,-0.2,-0.2
2019-03-09,17:30 (12:30),Matchweek 30,Sat,Home,W,3,1,Watford,3,19,8,42.1,0.16,0.38,15.8,1,0,0,3.4,3.4,0.19,-0.4,-0.4
2019-03-30,12:30 (08:30),Matchweek 32,Sat,Away,W,2,0,Fulham,2,24,7,29.2,0.08,0.29,18.3,1,0,0,1.8,1.8,0.08,+0.2,+0.2
