,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Goal_diff
0,2017-08-12,17:30 (12:30),Premier League,Matchweek 1,Sat,Away,W,2.0,0.0,Brighton,1.9,0.3,77.0,Vincent Kompany,3-1-4-2,Michael Oliver,14,4,28.6,0.07,0.25,19.5,2.0,0,0,season 1,2.0
1,2017-08-21,20:00 (15:00),Premier League,Matchweek 2,Mon,Home,D,1.0,1.0,Everton,1.1,0.6,64.0,Vincent Kompany,3-1-4-2,Robert Madley,19,6,31.6,0.05,0.17,20.0,1.0,0,0,season 1,0.0
2,2017-08-26,12:30 (07:30),Premier League,Matchweek 3,Sat,Away,W,2.0,1.0,Bournemouth,1.4,0.5,70.0,Vincent Kompany,4-3-3-0,Mike Dean,19,8,42.1,0.11,0.25,16.2,1.0,0,0,season 1,1.0
3,2017-09-09,12:30 (07:30),Premier League,Matchweek 4,Sat,Home,W,5.0,0.0,Liverpool,2.4,0.7,66.0,David Silva,3-1-4-2,Jonathan Moss,13,10,76.9,0.38,0.5,14.0,0.0,0,0,season 1,5.0
4,2017-09-16,15:00 (10:00),Premier League,Matchweek 5,Sat,Away,W,6.0,0.0,Watford,3.3,0.5,67.0,David Silva,4-3-3-0,Anthony Taylor,27,9,33.3,0.19,0.56,17.2,0.0,1,1,season 1,6.0
5,2017-09-23,15:00 (10:00),Premier League,Matchweek 6,Sat,Home,W,5.0,0.0,Crystal Palace,4.5,0.6,71.0,David Silva,4-3-3-0,Niel Swarbrick,25,9,36.0,0.2,0.56,13.5,0.0,0,0,season 1,5.0
6,2017-09-30,17:30 (12:30),Premier League,Matchweek 7,Sat,Away,W,1.0,0.0,Chelsea,0.9,0.5,61.0,David Silva,4-3-3-0,Martin Atkinson,17,5,29.4,0.06,0.2,18.0,1.0,0,0,season 1,1.0
7,2017-10-14,15:00 (10:00),Premier League,Matchweek 8,Sat,Home,W,7.0,2.0,Stoke City,3.8,0.5,79.0,David Silva,4-3-3-0,Craig Pawson,20,11,55.0,0.35,0.64,16.1,2.0,0,0,season 1,5.0
8,2017-10-21,15:00 (10:00),Premier League,Matchweek 9,Sat,Home,W,3.0,0.0,Burnley,3.1,0.2,77.0,David Silva,4-3-3-0,Roger East,14,9,64.3,0.14,0.22,15.0,0.0,1,1,season 1,3.0
9,2017-10-28,15:00 (10:00),Premier League,Matchweek 10,Sat,Away,W,3.0,2.0,West Brom,2.3,1.5,77.0,David Silva,4-3-3-0,Mike Jones,15,5,33.3,0.2,0.6,20.1,2.0,0,0,season 1,1.0
10,2017-11-05,14:15 (09:15),Premier League,Matchweek 11,Sun,Home,W,3.0,1.0,Arsenal,1.8,0.3,57.0,David Silva,4-3-3-0,Michael Oliver,8,4,50.0,0.25,0.5,16.5,0.0,1,1,season 1,2.0
11,2017-11-18,15:00 (10:00),Premier League,Matchweek 12,Sat,Away,W,2.0,0.0,Leicester City,1.9,0.2,73.0,Vincent Kompany,4-3-3-0,Graham Scott,12,4,33.3,0.17,0.5,17.7,0.0,0,0,season 1,2.0
12,2017-11-26,16:00 (11:00),Premier League,Matchweek 13,Sun,Away,W,2.0,1.0,Huddersfield,2.6,0.6,78.0,Vincent Kompany,4-3-3-0,Craig Pawson,13,4,30.8,0.08,0.25,17.5,1.0,1,1,season 1,1.0
13,2017-11-29,20:00 (15:00),Premier League,Matchweek 14,Wed,Home,W,2.0,1.0,Southampton,1.4,1.3,74.0,Vincent Kompany,4-3-3-0,Paul Tierney,26,12,46.2,0.08,0.17,21.6,0.0,0,0,season 1,1.0
