,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Victory,Opponent,Formation
1,Away,W,2.0,0.0,West Ham,2.2,0.5,75.0,4-3-3,13,1,7.7,0.08,1.0,18.7,1.0,1,1,1,0.8181793904883048,0.6666995441304379
2,Home,W,4.0,0.0,Bournemouth,1.7,0.1,67.0,4-2-3-1,19,7,36.8,0.16,0.43,17.5,0.0,0,0,1,0.9994182063160859,0.6666666666666667
3,Away,D,3.0,3.0,Newcastle Utd,2.1,1.8,69.0,4-3-3,21,10,47.6,0.14,0.3,16.2,1.0,0,0,0,0.7272744266581868,0.6666995441304379
4,Home,W,4.0,2.0,Crystal Palace,2.2,0.1,74.0,4-2-3-1,18,5,27.8,0.22,0.8,14.1,0.0,0,0,1,0.5454644989979508,0.6666666666666667
5,Home,W,6.0,0.0,Nott'ham Forest,3.3,0.7,74.0,4-2-3-1,17,9,52.9,0.35,0.67,14.8,0.0,0,0,1,0.7647058823529411,0.6666666666666667
6,Away,D,1.0,1.0,Aston Villa,2.1,0.3,71.0,4-3-3,13,4,30.8,0.08,0.25,16.8,1.0,0,0,0,0.8569142953384622,0.6666995441304379
9,Away,W,3.0,0.0,Wolves,1.1,0.4,59.0,4-3-3,16,7,43.8,0.19,0.43,19.4,0.0,0,0,1,0.6666995441304379,0.6666995441304379
10,Home,W,6.0,3.0,Manchester Utd,3.2,1.7,53.0,4-3-3,22,9,40.9,0.27,0.67,14.2,1.0,0,0,1,0.5454644989979508,0.6666995441304379
12,Home,W,4.0,0.0,Southampton,2.4,0.2,65.0,4-2-3-1,21,8,38.1,0.19,0.5,13.9,0.0,0,0,1,0.7272744266581868,0.6666666666666667
14,Away,L,0.0,1.0,Liverpool,1.0,2.1,63.0,3-4-3,16,6,37.5,0.0,0.0,18.4,0.0,0,0,0,0.3636545713377149,0.7647058823529411
15,Home,W,3.0,1.0,Brighton,1.6,0.5,48.0,4-3-3,9,3,33.3,0.22,0.67,15.0,0.0,1,1,1,0.9090843543184226,0.6666995441304379
17,Away,W,1.0,0.0,Leicester City,1.0,0.7,64.0,4-3-3,15,5,33.3,0.07,0.2,20.8,1.0,0,0,1,0.8181793904883048,0.6666995441304379
19,Home,W,2.0,1.0,Fulham,2.1,1.0,70.0,4-3-3,15,4,26.7,0.07,0.25,18.1,1.0,1,1,1,0.995767950597155,0.6666995441304379
21,Home,L,1.0,2.0,Brentford,1.6,1.3,74.0,4-3-3,29,6,20.7,0.03,0.17,20.9,0.0,0,0,0,0.6783532276492272,0.6666995441304379
0,Away,W,2.0,0.0,Brighton,1.9,0.3,77.0,3-1-4-2,14,4,28.6,0.07,0.25,19.5,2.0,0,0,1,0.9090843543184226,0.6673228285219887
1,Home,D,1.0,1.0,Everton,1.1,0.6,64.0,3-1-4-2,19,6,31.6,0.05,0.17,20.0,1.0,0,0,0,0.8999833054397195,0.6673228285219887
2,Away,W,2.0,1.0,Bournemouth,1.4,0.5,70.0,4-3-3-0,19,8,42.1,0.11,0.25,16.2,1.0,0,0,1,0.9994182063160859,0.7916666666666666
3,Home,W,5.0,0.0,Liverpool,2.4,0.7,66.0,3-1-4-2,13,10,76.9,0.38,0.5,14.0,0.0,0,0,1,0.3636545713377149,0.6673228285219887
