Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,17:30 (12:30),Matchweek 1,Sat,Away,W,2,0,Brighton,1.9,0.3,77,30415,Vincent Kompany,3-1-4-2,Michael Oliver,Match Report,
2017-08-21,20:00 (15:00),Matchweek 2,Mon,Home,D,1,1,Everton,1.1,0.6,64,49108,Vincent Kompany,3-1-4-2,Robert Madley,Match Report,
2017-08-26,12:30 (07:30),Matchweek 3,Sat,Away,W,2,1,Bournemouth,1.4,0.5,70,10419,Vincent Kompany,4-3-3-0,Mike Dean,Match Report,
2017-09-09,12:30 (07:30),Matchweek 4,Sat,Home,W,5,0,Liverpool,2.4,0.7,66,54172,David Silva,3-1-4-2,Jonathan Moss,Match Report,
2017-09-16,15:00 (10:00),Matchweek 5,Sat,Away,W,6,0,Watford,3.3,0.5,67,20305,David Silva,4-3-3-0,Anthony Taylor,Match Report,
2017-09-23,15:00 (10:00),Matchweek 6,Sat,Home,W,5,0,Crystal Palace,4.5,0.6,71,53526,David Silva,4-3-3-0,Niel Swarbrick,Match Report,
2017-09-30,17:30 (12:30),Matchweek 7,Sat,Away,W,1,0,Chelsea,0.9,0.5,61,41530,David Silva,4-3-3-0,Martin Atkinson,Match Report,
2017-10-14,15:00 (10:00),Matchweek 8,Sat,Home,W,7,2,Stoke City,3.8,0.5,79,54128,David Silva,4-3-3-0,Craig Pawson,Match Report,
2017-10-21,15:00 (10:00),Matchweek 9,Sat,Home,W,3,0,Burnley,3.1,0.2,77,54118,David Silva,4-3-3-0,Roger East,Match Report,
2017-10-28,15:00 (10:00),Matchweek 10,Sat,Away,W,3,2,West Brom,2.3,1.5,77,24003,David Silva,4-3-3-0,Mike Jones,Match Report,
2017-11-05,14:15 (09:15),Matchweek 11,Sun,Home,W,3,1,Arsenal,1.8,0.3,57,54286,David Silva,4-3-3-0,Michael Oliver,Match Report,
2017-11-18,15:00 (10:00),Matchweek 12,Sat,Away,W,2,0,Leicester City,1.9,0.2,73,31908,Vincent Kompany,4-3-3-0,Graham Scott,Match Report,
